data,mes,ano,processo,cliente,area,status,fase,tribunal,advogado,risco,resultado,valor_causa,honorarios_previstos,honorarios_recebidos,horas_trabalhadas,data_distribuicao,empresa
2025-03-01,Março,2025,1000123-54.2026.8.26.7532,Orbit Educação,Tributário,Encerrado,Instrução,TJMG,Fernanda Lima,Baixo,Ganho,206931.04,13451.88,9748.45,36.9,2025-03-01,Dobra Legal
2024-05-05,Maio,2024,1000124-41.2026.8.26.3616,Aurora Moda,Empresarial,Ativo,Recurso,TRT-2,Rafael Mendes,Médio,Em andamento,212725.29,15046.48,9664.39,71.8,2024-05-05,Dobra Legal
2025-06-11,Junho,2025,1000125-40.2026.8.26.4524,Boa Vista,Tributário,Ativo,Instrução,TJSP,Mariana Costa,Baixo,Em andamento,296037.99,21154.69,10911.26,85.3,2025-06-11,Dobra Legal
2026-05-13,Maio,2026,1000126-56.2026.8.26.7606,Pampa Alimentos,Contratos,Encerrado,Inicial,TRF-3,Mariana Costa,Médio,Em andamento,928116.95,69120.79,59164.95,30.5,2026-05-13,Dobra Legal
2025-07-20,Julho,2025,1000127-88.2026.8.26.2946,Orbit Educação,Empresarial,Ativo,Inicial,TRF-3,Juliana Alves,Médio,Em andamento,33687.21,3571.68,2316.57,50.1,2025-07-20,Dobra Legal
2026-08-19,Agosto,2026,1000128-52.2026.8.26.8761,Casa Norte,Empresarial,Ativo,Sentença,TJRJ,Fernanda Lima,Alto,Em andamento,67039.58,2924.55,759.30,23.0,2026-08-19,Dobra Legal
2026-08-11,Agosto,2026,1000129-53.2026.8.26.9311,Casa Norte,Família,Suspenso,Recurso,TRF-3,Fernanda Lima,Baixo,Acordo,104922.02,6708.58,670.86,114.9,2026-08-11,Dobra Legal
2025-01-12,Janeiro,2025,1000130-90.2026.8.26.1436,Terra Nova,Empresarial,Ativo,Sentença,TRT-2,Fernanda Lima,Médio,Em andamento,745459.92,83417.99,70711.70,102.1,2025-01-12,Dobra Legal
2025-08-20,Agosto,2025,1000131-97.2026.8.26.4968,Nimbus SA,Tributário,Encerrado,Recurso,TJSP,Rafael Mendes,Baixo,Ganho,80989.57,8258.38,3750.56,46.7,2025-08-20,Dobra Legal
2024-06-04,Junho,2024,1000132-17.2026.8.26.3262,Casa Norte,Tributário,Ativo,Contestação,TJMG,Juliana Alves,Alto,Em andamento,793169.19,61651.80,51090.95,69.1,2024-06-04,Dobra Legal
2025-01-20,Janeiro,2025,1000133-97.2026.8.26.5331,Terra Nova,Empresarial,Ativo,Sentença,TJRJ,Rafael Mendes,Baixo,Em andamento,78219.57,7358.07,6211.12,44.6,2025-01-20,Dobra Legal
2024-10-31,Outubro,2024,1000134-45.2026.8.26.5715,Helix Saúde,Empresarial,Encerrado,Recurso,TJMG,Carlos Nogueira,Alto,Ganho,794882.56,51956.12,22291.38,57.7,2024-10-31,Dobra Legal
2024-12-19,Dezembro,2024,1000135-71.2026.8.26.4505,Lumen Tech,Trabalhista,Ativo,Recurso,TRT-2,Fernanda Lima,Médio,Acordo,96642.07,11009.54,7428.99,22.7,2024-12-19,Dobra Legal
2025-09-22,Setembro,2025,1000136-22.2026.8.26.7771,Aurora Moda,Contratos,Acordo,Execução,TRF-3,Mariana Costa,Médio,Em andamento,423170.47,24566.62,8261.00,22.7,2025-09-22,Dobra Legal
2025-07-17,Julho,2025,1000137-46.2026.8.26.6262,Delta Log,Trabalhista,Ativo,Execução,TJSP,Mariana Costa,Médio,Acordo,266181.85,24500.20,18491.01,35.6,2025-07-17,Dobra Legal
2026-01-26,Janeiro,2026,1000138-60.2026.8.26.9116,Pulse Varejo,Contratos,Encerrado,Execução,TRT-2,Mariana Costa,Baixo,Em andamento,43829.67,2369.57,2098.74,81.2,2026-01-26,Dobra Legal
2024-04-19,Abril,2024,1000139-27.2026.8.26.9261,Céu Soft,Empresarial,Encerrado,Instrução,TJRJ,Mariana Costa,Baixo,Ganho,124986.50,10242.08,8822.61,103.4,2024-04-19,Dobra Legal
2025-10-25,Outubro,2025,1000140-34.2026.8.26.3875,Terra Nova,Empresarial,Encerrado,Execução,TRF-3,Carlos Nogueira,Médio,Ganho,784216.73,80979.33,48929.73,15.8,2025-10-25,Dobra Legal
2025-11-16,Novembro,2025,1000141-67.2026.8.26.5374,Aurora Moda,Cível,Acordo,Instrução,TJMG,Fernanda Lima,Baixo,Em andamento,100614.29,4079.55,1863.78,92.9,2025-11-16,Dobra Legal
2025-12-10,Dezembro,2025,1000142-49.2026.8.26.2923,Delta Log,Trabalhista,Ativo,Instrução,TJMG,Rafael Mendes,Baixo,Em andamento,39104.88,3710.50,3296.72,22.2,2025-12-10,Dobra Legal
2024-06-05,Junho,2024,1000143-95.2026.8.26.4578,Verde Agro,Tributário,Ativo,Execução,TJMG,Mariana Costa,Médio,Em andamento,1190352.01,134538.05,101694.68,75.8,2024-06-05,Dobra Legal
2025-01-05,Janeiro,2025,1000144-78.2026.8.26.3455,Pulse Varejo,Cível,Encerrado,Instrução,TJMG,Carlos Nogueira,Baixo,Perdido,389623.12,43727.81,13631.07,31.9,2025-01-05,Dobra Legal
2025-08-20,Agosto,2025,1000145-82.2026.8.26.1945,Sul Minas,Tributário,Ativo,Sentença,TRT-2,Mariana Costa,Baixo,Em andamento,43553.62,2201.88,1062.05,115.0,2025-08-20,Dobra Legal
2026-02-02,Fevereiro,2026,1000146-18.2026.8.26.8734,Nimbus SA,Trabalhista,Ativo,Instrução,TRF-3,Rafael Mendes,Médio,Em andamento,379279.79,31591.38,6261.55,108.2,2026-02-02,Dobra Legal
2026-01-16,Janeiro,2026,1000147-20.2026.8.26.9835,Orbit Educação,Contratos,Ativo,Execução,TRT-2,Mariana Costa,Baixo,Acordo,229428.84,26010.17,11756.52,77.1,2026-01-16,Dobra Legal
2025-06-25,Junho,2025,1000148-69.2026.8.26.9920,Maré Energia,Trabalhista,Encerrado,Recurso,TRF-3,Rafael Mendes,Baixo,Perdido,1185234.53,119109.38,111104.34,51.1,2025-06-25,Dobra Legal
2024-10-09,Outubro,2024,1000149-12.2026.8.26.4943,Lumen Tech,Trabalhista,Ativo,Inicial,TJSP,Fernanda Lima,Baixo,Em andamento,1077337.90,96091.92,86385.71,85.3,2024-10-09,Dobra Legal
2025-12-21,Dezembro,2025,1000150-17.2026.8.26.3295,Casa Norte,Cível,Ativo,Instrução,TJRJ,Fernanda Lima,Baixo,Em andamento,90269.21,5179.79,4356.12,85.3,2025-12-21,Dobra Legal
2025-11-19,Novembro,2025,1000151-17.2026.8.26.3869,Maré Energia,Empresarial,Ativo,Recurso,TRF-3,Mariana Costa,Alto,Em andamento,71445.69,4121.23,1608.93,132.1,2025-11-19,Dobra Legal
2025-11-18,Novembro,2025,1000152-70.2026.8.26.4948,Verde Agro,Tributário,Ativo,Instrução,TJRJ,Carlos Nogueira,Alto,Em andamento,444145.90,31142.10,23466.59,80.5,2025-11-18,Dobra Legal
2025-03-02,Março,2025,1000153-57.2026.8.26.2514,Sul Minas,Família,Ativo,Execução,TJRJ,Mariana Costa,Baixo,Em andamento,395400.49,36272.64,32202.16,95.6,2025-03-02,Dobra Legal
2025-09-09,Setembro,2025,1000154-71.2026.8.26.4422,Aurora Moda,Cível,Encerrado,Instrução,TJSP,Rafael Mendes,Alto,Perdido,29872.14,2925.81,1746.94,134.8,2025-09-09,Dobra Legal
2024-04-30,Abril,2024,1000155-40.2026.8.26.6269,Delta Log,Contratos,Encerrado,Sentença,TRF-3,Fernanda Lima,Médio,Ganho,300706.25,28958.46,13532.45,45.9,2024-04-30,Dobra Legal
2025-01-03,Janeiro,2025,1000156-50.2026.8.26.4328,Pampa Alimentos,Família,Encerrado,Instrução,TRF-3,Mariana Costa,Médio,Perdido,241512.54,23618.26,17933.42,34.1,2025-01-03,Dobra Legal
2024-05-29,Maio,2024,1000157-35.2026.8.26.6404,Verde Agro,Cível,Encerrado,Sentença,TJMG,Rafael Mendes,Baixo,Ganho,131790.17,12862.85,4967.04,93.0,2024-05-29,Dobra Legal
2025-12-02,Dezembro,2025,1000158-68.2026.8.26.3756,Pampa Alimentos,Empresarial,Suspenso,Contestação,TJRJ,Fernanda Lima,Baixo,Em andamento,146231.04,14501.37,1450.14,128.7,2025-12-02,Dobra Legal
2025-07-09,Julho,2025,1000159-16.2026.8.26.1104,Maré Energia,Contratos,Encerrado,Contestação,TJRJ,Mariana Costa,Médio,Perdido,36335.93,1669.51,1342.95,5.2,2025-07-09,Dobra Legal
2025-06-01,Junho,2025,1000160-94.2026.8.26.8993,Atlas Ltda,Tributário,Encerrado,Inicial,TJMG,Fernanda Lima,Baixo,Ganho,97905.95,11231.02,9885.55,6.3,2025-06-01,Dobra Legal
2026-01-09,Janeiro,2026,1000161-32.2026.8.26.2753,Helix Saúde,Empresarial,Encerrado,Recurso,TJRJ,Rafael Mendes,Baixo,Em andamento,618054.55,58049.31,46145.38,75.6,2026-01-09,Dobra Legal
2026-04-14,Abril,2026,1000162-99.2026.8.26.4700,Delta Log,Empresarial,Acordo,Execução,TJSP,Mariana Costa,Baixo,Em andamento,148401.87,11385.36,3923.01,55.6,2026-04-14,Dobra Legal
2025-07-19,Julho,2025,1000163-92.2026.8.26.6427,Boa Vista,Tributário,Encerrado,Inicial,TJMG,Mariana Costa,Baixo,Ganho,38507.40,1795.02,1483.16,126.6,2025-07-19,Dobra Legal
2025-12-09,Dezembro,2025,1000164-94.2026.8.26.1539,Pulse Varejo,Família,Ativo,Instrução,TJSP,Rafael Mendes,Médio,Acordo,215784.55,13471.39,7873.01,106.3,2025-12-09,Dobra Legal
2025-12-30,Dezembro,2025,1000165-79.2026.8.26.6435,Serra Café,Tributário,Ativo,Execução,TJRJ,Mariana Costa,Médio,Em andamento,32011.08,3455.77,2390.11,136.5,2025-12-30,Dobra Legal
2024-02-24,Fevereiro,2024,1000166-51.2026.8.26.1485,Costa Farma,Cível,Ativo,Sentença,TRF-3,Rafael Mendes,Baixo,Em andamento,210643.01,18770.23,11759.31,132.0,2024-02-24,Dobra Legal
2025-03-18,Março,2025,1000167-41.2026.8.26.2204,Forge Engenharia,Trabalhista,Suspenso,Instrução,TJRJ,Carlos Nogueira,Médio,Em andamento,986452.81,62768.35,6276.83,90.2,2025-03-18,Dobra Legal
2026-01-27,Janeiro,2026,1000168-23.2026.8.26.3170,Forge Engenharia,Tributário,Acordo,Contestação,TRF-3,Carlos Nogueira,Médio,Em andamento,118548.14,8959.73,6801.13,73.7,2026-01-27,Dobra Legal
2024-04-15,Abril,2024,1000169-47.2026.8.26.7779,Serra Café,Cível,Ativo,Inicial,TJMG,Rafael Mendes,Médio,Em andamento,33062.85,2180.64,999.15,27.1,2024-04-15,Dobra Legal
2025-01-24,Janeiro,2025,1000170-48.2026.8.26.8933,Forge Engenharia,Trabalhista,Ativo,Instrução,TRT-2,Rafael Mendes,Médio,Em andamento,70036.62,3738.32,1386.05,71.4,2025-01-24,Dobra Legal
2025-09-23,Setembro,2025,1000171-52.2026.8.26.8212,Aurora Moda,Trabalhista,Acordo,Sentença,TJMG,Rafael Mendes,Baixo,Em andamento,194120.35,12924.02,8350.91,86.0,2025-09-23,Dobra Legal
2025-12-12,Dezembro,2025,1000172-72.2026.8.26.4971,Aurora Moda,Trabalhista,Acordo,Sentença,TRT-2,Carlos Nogueira,Baixo,Acordo,221472.19,14022.70,9899.55,130.8,2025-12-12,Dobra Legal
2024-07-23,Julho,2024,1000173-36.2026.8.26.8183,Delta Log,Família,Encerrado,Execução,TJSP,Carlos Nogueira,Médio,Perdido,407500.78,17177.50,12569.99,22.9,2024-07-23,Dobra Legal
2024-11-06,Novembro,2024,1000174-86.2026.8.26.8851,Boa Vista,Trabalhista,Encerrado,Sentença,TJMG,Fernanda Lima,Alto,Ganho,139033.08,14337.94,2999.10,122.3,2024-11-06,Dobra Legal
2025-03-04,Março,2025,1000175-20.2026.8.26.2791,Verde Agro,Família,Encerrado,Execução,TRT-2,Rafael Mendes,Médio,Em andamento,41471.38,3440.15,2272.37,10.0,2025-03-04,Dobra Legal
2025-10-22,Outubro,2025,1000176-11.2026.8.26.2615,Costa Farma,Contratos,Encerrado,Contestação,TJMG,Fernanda Lima,Médio,Ganho,892206.58,104617.77,51719.31,97.5,2025-10-22,Dobra Legal
2024-08-14,Agosto,2024,1000177-54.2026.8.26.1402,Rio Branco,Tributário,Encerrado,Inicial,TRT-2,Carlos Nogueira,Alto,Perdido,120640.47,10506.24,5782.35,15.7,2024-08-14,Dobra Legal
2026-05-01,Maio,2026,1000178-54.2026.8.26.8801,Helix Saúde,Contratos,Suspenso,Sentença,TRF-3,Juliana Alves,Baixo,Em andamento,73443.30,5999.52,599.95,10.1,2026-05-01,Dobra Legal
2025-12-28,Dezembro,2025,1000179-41.2026.8.26.9454,Pulse Varejo,Cível,Encerrado,Recurso,TJRJ,Juliana Alves,Médio,Ganho,42596.72,4011.38,1129.14,134.4,2025-12-28,Dobra Legal
